model,test_start,test_end,users_in_window,total_n_test,total_n_train,accuracy_top1,f1_macro_top1,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
baseline,2025-02-28 14:50:13.611001-03:00,2025-03-07 14:50:13.611001-03:00,1,61,15109,0.11475409836065574,0.018421052631578946,0.11475409836065574,0.13114754098360656,0.4098360655737705,0.11475409836065574,0.12021857923497267,0.18989071038251365
baseline,2025-02-28 22:34:49.777003-03:00,2025-03-07 22:34:49.777003-03:00,1,320,3306,0.125,0.0028490028490028487,0.125,0.228125,0.259375,0.125,0.1666666666666667,0.1744791666666667
baseline,2025-03-01 10:28:20.800009-03:00,2025-03-08 10:28:20.800009-03:00,1,315,4144,0.26666666666666666,0.03007518796992481,0.26666666666666666,0.546031746031746,0.7873015873015873,0.26666666666666666,0.3793650793650792,0.4396825396825395
baseline,2025-03-03 14:14:43.247008-03:00,2025-03-10 14:14:43.247008-03:00,1,14,55,0.07142857142857142,0.11111111111111109,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.10714285714285714
baseline,2025-03-03 16:21:46.497003-03:00,2025-03-10 16:21:46.497003-03:00,1,156,5573,0.03205128205128205,0.0012939958592132505,0.03205128205128205,0.12179487179487179,0.12179487179487179,0.03205128205128205,0.07051282051282053,0.07051282051282053
baseline,2025-03-04 19:11:24.650007-03:00,2025-03-11 19:11:24.650007-03:00,1,470,5288,0.006382978723404255,0.00029935638377488397,0.006382978723404255,0.01276595744680851,0.15531914893617021,0.006382978723404255,0.00851063829787234,0.03936170212765956
baseline,2025-03-06 07:19:11.962001-03:00,2025-03-13 07:19:11.962001-03:00,1,133,21863,0.05263157894736842,0.0022382094324540367,0.05263157894736842,0.22556390977443608,0.2631578947368421,0.05263157894736842,0.13659147869674185,0.1444862155388471
baseline,2025-03-06 07:29:04.576003-03:00,2025-03-13 07:29:04.576003-03:00,1,2494,6820,0.03648757016840417,0.0003534984804575882,0.03648757016840417,0.07618283881315156,0.09663191659983962,0.03648757016840417,0.053595295375567995,0.05810612135792571
baseline,2025-03-06 09:14:25.081005-03:00,2025-03-13 09:14:25.081005-03:00,1,201,2232,0.03482587064676617,0.0008109360518999074,0.03482587064676617,0.12935323383084577,0.15920398009950248,0.03482587064676617,0.07296849087893864,0.0799336650082919
baseline,2025-03-06 11:29:41.527005-03:00,2025-03-13 11:29:41.527005-03:00,1,582,7988,0.003436426116838488,0.00010222858311183807,0.003436426116838488,0.20790378006872853,0.29553264604810997,0.003436426116838488,0.09936998854524628,0.120504009163803
baseline,2025-03-06 11:43:42.906010-03:00,2025-03-13 11:43:42.906010-03:00,1,2380,23936,0.07184873949579831,0.0017463235294117648,0.07184873949579831,0.3042016806722689,0.3348739495798319,0.07184873949579831,0.17934173669467776,0.1864425770308121
baseline,2025-03-06 12:00:34.919013-03:00,2025-03-13 12:00:34.919013-03:00,1,20,617,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.125
baseline,2025-03-06 13:54:27.589002-03:00,2025-03-13 13:54:27.589002-03:00,1,521,18404,0.09980806142034548,0.002402380887396854,0.09980806142034548,0.4491362763915547,0.46449136276391556,0.09980806142034548,0.2184900831733843,0.2219449776071655
baseline,2025-03-06 23:05:36.614007-03:00,2025-03-13 23:05:36.614007-03:00,1,26,123,0.19230769230769232,0.037037037037037035,0.19230769230769232,0.34615384615384615,0.34615384615384615,0.19230769230769232,0.24358974358974358,0.24358974358974358
baseline,2025-03-07 14:30:05.710000-03:00,2025-03-14 14:30:05.710000-03:00,1,447,3060,0.232662192393736,0.011439256448330859,0.232662192393736,0.4004474272930649,0.45861297539149887,0.232662192393736,0.31021625652498125,0.32352721849366145
